methods,,,Projected Tucker,Projected Tucker,Projected Tucker,Projected Tucker,Projected Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker
errors,,,A1,A2,A3,F,Y,A1,A2,A3,F,Y
alpha,R,I,,,,,,,,,,
0.1,3,100,1.303 (0.135),1.288 (0.156),1.276 (0.165),2.663 (0.494),2.464 (0.554),1.707 (0.011),1.706 (0.011),1.704 (0.013),7.861 (1.761),7.886 (1.745)
0.1,3,200,1.287 (0.153),1.302 (0.152),1.292 (0.128),2.472 (0.518),2.341 (0.484),1.719 (0.007),1.719 (0.006),1.719 (0.006),10.206 (2.071),10.182 (2.045)
0.1,3,300,1.266 (0.163),1.268 (0.159),1.265 (0.149),2.407 (0.459),2.223 (0.505),1.724 (0.004),1.723 (0.004),1.724 (0.003),11.773 (2.568),11.784 (2.537)
0.3,3,100,0.851 (0.244),0.844 (0.245),0.867 (0.222),1.416 (0.402),0.969 (0.275),1.710 (0.011),1.704 (0.013),1.704 (0.013),3.429 (0.690),3.451 (0.647)
0.3,3,200,0.712 (0.215),0.693 (0.207),0.710 (0.221),1.226 (0.458),0.744 (0.218),1.719 (0.006),1.718 (0.007),1.718 (0.006),3.868 (0.779),3.838 (0.751)
0.3,3,300,0.577 (0.183),0.564 (0.185),0.553 (0.188),1.135 (0.449),0.604 (0.172),1.723 (0.004),1.724 (0.004),1.723 (0.005),4.095 (0.800),4.095 (0.769)
0.5,3,100,0.273 (0.072),0.281 (0.072),0.278 (0.074),0.701 (0.511),0.283 (0.063),1.596 (0.217),1.588 (0.215),1.587 (0.211),1.633 (0.316),1.554 (0.324)
0.5,3,200,0.195 (0.049),0.189 (0.048),0.183 (0.046),0.645 (0.529),0.196 (0.044),1.682 (0.088),1.673 (0.103),1.670 (0.107),1.603 (0.298),1.592 (0.250)
0.5,3,300,0.151 (0.042),0.149 (0.042),0.147 (0.042),0.544 (0.495),0.150 (0.039),1.652 (0.227),1.654 (0.200),1.651 (0.213),1.539 (0.276),1.503 (0.315)
